epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.6399,0.43557,0.94073,1,0.14319,0.00047428,0.00047428,0.00047428
2,62.9132,0.21748,0.96176,1,0.0976,0.000903558,0.000903558,0.000903558
3,92.5935,0.21394,0.93881,1,0.16357,0.00128568,0.00128568,0.00128568
4,121.351,0.19021,0.97132,1,0.09551,0.00121679,0.00121679,0.00121679
5,150.107,0.14754,0.97132,1,0.07811,0.00114606,0.00114606,0.00114606
6,178.692,0.12115,0.96941,1,0.07156,0.00107532,0.00107532,0.00107532
7,208.254,0.12194,0.97323,1,0.07972,0.00100459,0.00100459,0.00100459
8,237.071,0.07804,0.98662,1,0.04333,0.000933851,0.000933851,0.000933851
9,265.861,0.06954,0.99044,1,0.03005,0.000863116,0.000863116,0.000863116
10,296.014,0.0602,0.99235,1,0.03663,0.00079238,0.00079238,0.00079238
11,325.342,0.06146,0.99426,1,0.02587,0.000721645,0.000721645,0.000721645
12,354.519,0.0494,0.99235,1,0.03317,0.000650909,0.000650909,0.000650909
13,384.256,0.04581,0.98853,1,0.04052,0.000580174,0.000580174,0.000580174
14,412.826,0.03871,0.99426,1,0.04387,0.000509438,0.000509438,0.000509438
15,441.466,0.03168,0.99044,1,0.03126,0.000438703,0.000438703,0.000438703
16,470.255,0.0278,0.99235,1,0.03423,0.000367967,0.000367967,0.000367967
17,499.021,0.03433,0.99426,1,0.02257,0.000297232,0.000297232,0.000297232
18,528.374,0.02304,0.99426,1,0.02606,0.000226497,0.000226497,0.000226497
19,557.82,0.0228,0.99426,1,0.027,0.000155761,0.000155761,0.000155761
20,588.168,0.01689,0.99426,1,0.02375,8.50255e-05,8.50255e-05,8.50255e-05
