epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,90.5217,0.60155,0.91481,1,0.23904,0.000369645,0.000369645,0.000369645
2,177.62,0.37702,0.88467,1,0.3667,0.000703349,0.000703349,0.000703349
3,258.437,0.37302,0.91612,1,0.27361,0.00100039,0.00100039,0.00100039
4,338.205,0.34112,0.91874,1,0.26626,0.000946016,0.000946016,0.000946016
5,419.649,0.29941,0.91743,1,0.25979,0.000891022,0.000891022,0.000891022
6,499.132,0.28546,0.92398,1,0.24061,0.000836027,0.000836027,0.000836027
7,580.663,0.24827,0.92529,1,0.20658,0.000781033,0.000781033,0.000781033
8,659.794,0.23705,0.93578,1,0.19978,0.000726038,0.000726038,0.000726038
9,738.61,0.20824,0.92661,1,0.25322,0.000671044,0.000671044,0.000671044
10,818.291,0.21055,0.93971,1,0.17366,0.000616049,0.000616049,0.000616049
11,896.548,0.1884,0.92267,1,0.20977,0.000561055,0.000561055,0.000561055
12,978.074,0.18287,0.94233,1,0.20918,0.00050606,0.00050606,0.00050606
13,1059.23,0.16358,0.92923,1,0.24695,0.000451066,0.000451066,0.000451066
14,1141.23,0.15444,0.93971,1,0.22975,0.000396071,0.000396071,0.000396071
15,1222.63,0.14683,0.93447,1,0.22004,0.000341077,0.000341077,0.000341077
16,1304.05,0.12287,0.94102,1,0.20061,0.000286083,0.000286083,0.000286083
17,1385.81,0.11839,0.93971,1,0.19732,0.000231088,0.000231088,0.000231088
18,1467.87,0.10037,0.93578,1,0.23045,0.000176094,0.000176094,0.000176094
19,1546.31,0.09506,0.93971,1,0.21797,0.000121099,0.000121099,0.000121099
20,1623.81,0.08758,0.94495,1,0.21046,6.61045e-05,6.61045e-05,6.61045e-05
